sentiment;TOKENS;SHAP;C-SHAP (P+C)
negative;elevated ;0,017760579;0,017760579
negative;u;0,009797119;0,009797119
negative;s;-0,004083676;-0,004083676
negative;interest ;0,016794058;0,024702791
negative;rates ;0,032611524;0,024702791
negative;spurred ;0,056430753;0,056430753
negative;a ;0,024830592;0,024830592
negative;depreciation ;0,304178841;0,304178841
negative;in ;0,025888307;0,025888307
negative;the ;0,019071895;0,019071895
negative;foreign ;0,020847368;0,020847368
negative;exchange ;0,016398723;0,016398723
negative;value ;0,00580916;0,00580916
negative;of ;0,00580916;0,00580916
negative;the ;0,012820165;0,012820165
negative;dollar;0,012820165;0,012820165
positive;broad ;0,011826756;0,011826756
positive;financial ;-0,005011274;-0,005011274
positive;conditions ;0,006049983;0,006049983
positive;were ;0,009551922;0,009551922
positive;projected ;0,038288598;0,038288598
positive;to ;0,009281946;0,009281946
positive;be ;0,020668575;0,020668575
positive;somewhat ;0,022290555;0,022290555
positive;less ;0,003611116;0,003611116
positive;restrictive ;0,008391813;0,008391813
positive;than ;0,018945;0,018945
positive;previously ;0,027814751;0,027814751
positive;assumed;0,015800016;0,015800016
positive;as ;0,004613148;0,004613148
positive;the ;0,005563015;0,005563015
positive;effects ;-0,001452729;-0,001452729
positive;of ;0,005150873;0,005150873
positive;a ;0,0324422;0,0324422
positive;higher ;0,0324422;0,0324422
positive;path ;0,02066086;0,02066086
positive;for ;0,02066086;0,02066086
positive;equity ;0,016264016;0,016264016
positive;values ;0,016264016;0,016264016
positive;and ;0,015899579;0,015899579
positive;a ;0,010448442;0,010448442
positive;lower ;0,012427853;0,012427853
positive;path ;0,012377502;0,012377502
positive;for ;0,011307136;0,011307136
positive;the ;0,008087909;0,008087909
positive;dollar ;0,008729439;0,008729439
positive;more ;0,013520176;0,013520176
positive;than ;0,016271963;0,016271963
positive;offset ;0,094005709;0,094005709
positive;a ;0,060800099;0,060800099
positive;higher ;0,04381816;0,04381816
positive;medium;0,03443218;0,03443218
positive;term ;0,007108382;0,007108382
positive;trajectory ;0,014061568;0,014061568
positive;for ;0,014061568;0,014061568
positive;interest ;0,000794412;0,000794412
positive;rates;0,000794412;0,000794412
positive;expectations ;0,070603609;0,070603609
positive;for ;0,000568518;0,000568518
positive;an ;0,009657154;0,009657154
positive;earlier ;0,001559602;0,001559602
positive;reduction ;0,018395584;0,018395584
positive;in ;0,023889272;0,023889272
positive;federal ;0,000617154;0,000617154
positive;reserve ;-0,006587612;-0,005276153
positive;policy ;0,000702248;-0,00060921
positive;accommodation ;0,037613896;0,037613896
positive;lifted ;0,166353529;0,166353529
positive;short;0,005095441;0,006894888
positive;term ;0,010683208;0,011418153
positive;interest ;0,010683208;0,018100821
positive;rates ;0,030413554;0,018100821
positive;and ;0,014650054;0,014650054
positive;supported ;0,151366703;0,151366703
positive;the ;0,021342811;0,021342811
positive;dollar;0,055443011;0,055443011
positive;the ;0,004811763;0,002581998
positive;projection ;-0,017285157;-0,017285157
positive;for ;-0,007189766;-0,007189766
positive;real ;-0,001426462;-0,001426462
positive;gdp ;-0,000142945;-0,000142945
positive;growth ;0,020813282;0,020813282
positive;over ;0,018693495;0,018693495
positive;the ;0,00618841;0,00618841
positive;medium ;0,00785696;0,00785696
positive;term ;0,006088685;0,006088685
positive;was ;-0,017900194;-0,017900194
positive;revised ;-0,020601824;-0,020601824
positive;up;0,070480304;0,070480304
positive;primarily ;0,039502738;0,040163999
positive;reflecting ;0,035596089;0,034934829
positive;a ;0,028628231;0,028628231
positive;lower ;0,028215948;0,028215948
positive;assumed ;0,015570522;0,015210204
positive;path ;0,015570522;0,015210204
positive;for ;0,009395913;0,015075248
positive;interest ;0,009395913;0,005329913
positive;rates;0,009395913;0,005329913
positive;a ;0,044951351;0,044951351
positive;slightly ;0,049986955;0,049986955
positive;higher ;0,068641674;0,068641674
positive;trajectory ;0,035371748;0,035371748
positive;for ;0,009321817;0,009321817
positive;equity ;0,009321817;0,009321817
positive;prices;0,014648137;0,014648137
positive;and ;-0,000705061;-0,000705061
positive;somewhat ;0,014001531;0,014001531
positive;less ;0,013303791;0,013303791
positive;appreciation ;0,025180285;0,025180285
positive;of ;0,025180285;0,025180285
positive;the ;0,008398264;0,008398264
positive;broad ;0,008398264;0,008398264
positive;real ;0,012273932;0,012273932
positive;dollar;0,012273932;0,012273932
positive;the ;-0,008303;-0,008303
positive;projection ;-0,034995186;-0,034995186
positive;for ;-0,004841736;-0,004841736
positive;real ;0,001204181;0,001204181
positive;gdp ;-0,001386866;-0,001386866
positive;growth ;0,005905097;0,005905097
positive;over ;0,015940595;0,015940595
positive;the ;0,003216679;0,003216679
positive;medium ;0,004432889;0,004432889
positive;term ;-0,010762303;-0,010762303
positive;was ;-0,028934863;-0,028934863
positive;little ;-0,013877488;-0,013877488
positive;changed;0,124011883;0,124011883
positive;as ;0,015115715;0,015115715
positive;the ;0,015115715;0,015115715
positive;effects ;0,006760623;0,006760623
positive;of ;0,006760623;0,006760623
positive;a ;0,020747647;0,020747647
positive;higher ;0,020747647;0,020747647
positive;projected ;0,012998766;0,012998766
positive;path ;0,012998766;0,012998766
positive;for ;0,010895642;0,010895642
positive;the ;0,010895642;0,010895642
positive;broad ;0,010722413;0,010722413
positive;real ;0,010722413;0,010722413
positive;dollar ;0,010722413;0,010722413
positive;and ;0,019995635;0,019995635
positive;lower ;0,023582705;0,023582705
positive;trajectory ;0,023582705;0,023582705
positive;for ;0,022454409;0,022454409
positive;foreign ;0,022454409;0,022454409
positive;economic ;-0,002525731;-0,002525731
positive;growth ;-0,002525731;-0,002525731
positive;were ;1,85291E-05;1,85291E-05
positive;largely ;1,85291E-05;1,85291E-05
positive;counterbalanced ;0,053243244;0,053243244
positive;by ;0,019734149;0,019734149
positive;a ;0,022933874;0,022933874
positive;lower ;0,03135484;0,03135484
positive;projected ;0,031715698;0,031715698
positive;path ;0,000439873;0,000439873
positive;for ;0,000439873;0,000439873
positive;interest ;0,000439873;0,000439873
positive;rates;0,000439873;0,000439873
negative;the ;-0,000450803;-0,000450803
negative;projection ;0,003030799;0,003030799
negative;for ;9,66976E-05;9,66976E-05
negative;real ;-0,001951321;-0,001951321
negative;gdp ;0,012951501;0,012951501
negative;growth ;-0,007415049;-0,007415049
negative;over ;-0,004769467;-0,004769467
negative;the ;0,005703319;0,005703319
negative;medium ;0,005703319;0,005703319
negative;term ;0,017328087;0,017328087
negative;was ;0,017328087;0,017328087
negative;a ;0,006653034;0,006653034
negative;bit ;0,075746229;0,075746229
negative;weaker ;0,362047616;0,362047616
negative;than ;0,047096867;0,047096867
negative;the ;0,013448295;0,013448295
negative;previous ;0,013448295;0,013448295
negative;forecast;0,0367653;0,0367653
negative;primarily ;0,021772764;0,021772764
negative;reflecting ;0,019711976;0,019711976
negative;the ;0,012280108;0,012280108
negative;effects ;0,012280108;0,012280108
negative;of ;0,003715443;0,003715443
negative;a ;0,003715443;0,003715443
negative;higher ;0,000617026;0,000617026
negative;projected ;0,001774531;0,001774531
negative;path ;-0,012514103;-0,012514103
negative;for ;-0,012514103;-0,012514103
negative;the ;-0,010941624;-0,010941624
negative;foreign ;-0,010941624;-0,010941624
negative;exchange ;-0,000765118;-0,000765118
negative;value ;-0,000765118;-0,000765118
negative;of ;-0,000765118;-0,000765118
negative;the ;-0,000765118;-0,000765118
negative;dollar ;-0,000765118;-0,000765118
negative;and ;0,018378085;0,018378085
negative;a ;0,011328355;0,011328355
negative;lower ;0,011328355;0,011328355
negative;trajectory ;0,006768127;0,006768127
negative;for ;0,006768127;0,006768127
negative;economic ;0,004845659;0,004845659
negative;growth ;0,004845659;0,004845659
negative;abroad;0,005127485;0,005127485
negative;which ;0,019886398;0,019886398
negative;were ;0,019886398;0,019886398
negative;partially ;0,014709754;0,014709754
negative;offset ;0,019238179;0,019238179
negative;by ;0,003005283;0,003005283
negative;a ;0,003005283;0,003005283
negative;lower ;0,005350129;0,005350129
negative;assumed ;0,005350129;0,005350129
negative;path ;0,003597841;0,003597841
negative;for ;0,003597841;0,003597841
negative;interest ;0,008504126;0,008504126
negative;rates;0,008504126;0,008504126
positive;the ;-0,001928545;-0,001928545
positive;dollar ;0,042462375;0,042462375
positive;appreciated ;0,240091785;0,240091785
positive;notably ;0,024945726;0,024945726
positive;against ;0,024945726;0,024945726
positive;several ;0,024576286;0,024576286
positive;eme ;0,028229985;0,028229985
positive;currencies ;0,014898782;0,014898782
positive;primarily ;0,008736363;0,008736363
positive;those ;0,008736363;0,008736363
positive;of ;0,008736363;0,008736363
positive;argentina;0,008736363;0,008736363
positive;turkey;0,004986686;0,004986686
positive;mexico;0,005163236;0,005163236
positive;and ;0,004536362;0,004536362
positive;brazil;0,004536362;0,004536362
positive;as ;0,0432233;0,0432233
positive;the ;0,020623571;0,020623571
positive;increase ;0,022404464;0,022404464
positive;in ;0,022404464;0,022404464
positive;u;0,022404464;0,022404464
positive;s;0,002800365;0,002800365
positive;interest ;0,005995521;0,00626736
positive;rates ;0,006539198;0,00626736
positive;since ;-0,0017066;-0,0017066
positive;late ;-0,0017066;-0,0017066
positive;2017;-0,0017066;-0,0017066
positive;along ;0,005819635;0,005819635
positive;with ;0,005819635;0,005819635
positive;political ;0,005401578;0,005401578
positive;developments ;0,006344161;0,006344161
positive;and ;0,001911648;0,001911648
positive;other ;0,003400687;0,003400687
positive;issues;0,003400687;0,003400687
positive;intensified ;0,029001598;0,029001598
positive;concerns ;0,016485016;0,016485016
positive;about ;0,004908007;0,004908007
positive;financial ;0,004908007;0,004908007
positive;vulnerabilities;0,025082298;0,025082298
positive;in ;-0,007115331;-0,007115331
positive;their ;-0,005298284;-0,005298284
positive;discussion ;-0,004710109;-0,004710109
positive;of ;-0,000969447;-0,000969447
positive;developments ;-0,000969447;-0,000969447
positive;in ;-0,00155051;-0,00155051
positive;financial ;-0,00155051;-0,00155051
positive;markets;-0,00155051;-0,00155051
positive;a ;0,00193184;0,00193184
positive;number ;0,00193184;0,00193184
positive;of ;0,011082671;0,011082671
positive;participants ;0,011082671;0,011082671
positive;noted ;0,031024728;0,031024728
positive;that ;0,029502222;0,029502222
positive;financial ;0,010949045;0,010949045
positive;conditions ;0,010949045;0,010949045
positive;remained ;0,020929785;0,020929785
positive;accommodative;0,010412002;0,010412002
positive;the ;0,017619218;0,017619218
positive;rise ;0,013878362;0,013878362
positive;in ;0,013878362;0,013878362
positive;interest ;0,001556049;0,001556049
positive;rates ;0,001556049;0,001556049
positive;and ;0,001556049;0,001556049
positive;appreciation ;0,012601625;0,012601625
positive;of ;0,012601625;0,012601625
positive;the ;0,008188901;0,008188901
positive;dollar ;0,008188901;0,008188901
positive;over ;0,010604865;0,010604865
positive;the ;0,009402433;0,009402433
positive;intermeeting ;0,046584778;0,046584778
positive;period ;0,010923112;0,010923112
positive;had ;0,010923112;0,010923112
positive;been ;0,027519255;0,027519255
positive;offset ;0,02776016;0,02776016
positive;by ;0,009439413;0,009439413
positive;increases ;0,070968706;0,070968706
positive;in ;-0,000668726;-0,000668726
positive;equity ;-0,000668726;-0,000668726
positive;prices;-0,000153763;-0,000153763
positive;and ;-0,006545884;-0,006545884
positive;broader ;0,008426559;0,008426559
positive;measures ;0,008426559;0,008426559
positive;continued ;0,008046098;0,008046098
positive;to ;0,008046098;0,008046098
positive;point ;0,005424382;0,005424382
positive;to ;0,005424382;0,005424382
positive;accommodative ;0,007506414;0,007506414
positive;financial ;0,00079685;0,00079685
positive;conditions;0,00079685;0,00079685
positive;through ;0,006687531;0,006687531
positive;early ;-0,001093842;-0,001093842
positive;january;-0,001455321;-0,001455321
positive;the ;0,02140576;0,02140576
positive;dollar ;0,02140576;0,02140576
positive;"appreciated 
 ";0,24911681;0,24911681
positive;against ;0,071370099;0,071370099
positive;both ;0,00343467;0,00343467
positive;the ;0,00343467;0,00343467
positive;yen ;0,00343467;0,00343467
positive;and ;0,001768406;0,001768406
positive;the ;0,011816118;0,011816118
positive;mark;0,008603562;0,008603562
positive;especially ;0,046451237;0,046451237
positive;the ;0,037590836;0,037590836
positive;latter;0,021269596;0,021269596
positive;in ;0,040217467;0,040217467
positive;"response 
 ";0,05627079;0,05627079
positive;to ;0,05627079;0,05627079
positive;actual ;0,039109666;0,039109666
positive;and ;0,028603743;0,028603743
positive;expected ;-0,010306271;-0,010306271
positive;further ;-0,001375609;-0,001375609
positive;declines ;-0,055652484;-0,055652484
positive;in ;-0,01834337;-0,01834337
positive;interest ;-0,002421094;-0,002421094
positive;rates ;-0,002421094;-0,002421094
positive;in ;-0,002807098;-0,002807098
positive;japan ;-0,002807098;-0,002807098
positive;"and 
 ";0,005954085;0,005954085
positive;germany;0,005954085;0,005954085
negative;the ;-0,01075155;-0,01075155
negative;dollar ;-0,030515967;-0,030515967
negative;depreciated ;0,303336474;0,303336474
negative;through ;0,019150798;0,019150798
negative;late ;0,019150798;0,019150798
negative;february;0,032410294;0,032410294
negative;partly ;0,011859454;0,011859454
negative;in ;-0,001961824;-0,001961824
negative;response ;-0,014243568;-0,014243568
negative;to ;-0,000505124;-0,000505124
negative;declines ;0,021627602;0,021627602
negative;in ;0,011645389;0,011645389
negative;u;0,011645389;0,011645389
negative;s;-0,026054367;-0,026054367
negative;long;-0,002168346;-0,002720357
negative;term ;-0,001537252;-0,002720357
negative;interest ;-0,001537252;-0,000714647
negative;rates ;-0,00217917;-0,000714647
negative;"and 
 ";-0,008099167;-0,008099167
negative;incoming ;-0,008099167;-0,008099167
negative;data ;-0,008805481;-0,008805481
negative;that ;-0,008805481;-0,008805481
negative;were ;0,00770004;0,00770004
negative;seen ;0,00770004;0,00770004
negative;as ;0,006270796;0,006270796
negative;pointing ;0,006270796;0,006270796
negative;to ;-0,001874416;-0,001874416
negative;some ;-0,001874416;-0,001874416
negative;slowing ;0,11533736;0,11533736
negative;of ;0,006849726;0,006849726
negative;"the 
 ";0,003015761;0,003015761
negative;expansion ;0,003015761;0,003015761
negative;in ;0,005429283;0,005429283
negative;the ;0,005429283;0,005429283
negative;united ;0,010794329;0,010794329
negative;states;0,010794329;0,010794329
negative;they ;-0,001456191;-0,001456191
negative;were ;-0,002683311;-0,002683311
negative;persuaded ;-0,002683311;-0,002683311
negative;"that 
 ";0,013573999;0,013573999
negative;monetary ;0,013573999;0,013573999
negative;policy ;0,014119034;0,014119034
negative;currently ;0,014119034;0,014119034
negative;was ;0,031583548;0,031583548
negative;overly ;0,043000651;0,043000651
negative;accommodative ;0,03039889;0,03039889
negative;as ;-0,007274294;-0,007274294
negative;suggested ;-0,007274294;-0,007274294
negative;"by 
 ";-0,001592286;-0,001592286
negative;various ;-0,001592286;-0,001592286
negative;indicators ;0,002119255;0,002119255
negative;such ;0,002119255;0,002119255
negative;as ;0,002119255;0,002119255
negative;recent ;0,002119255;0,002119255
negative;data ;0,002119255;0,002119255
negative;on ;0,002119255;0,002119255
negative;consumer ;0,002119255;0,002119255
negative;and ;0,00212269;0,00212269
negative;producer ;0,00212269;0,00212269
negative;prices;0,00212269;0,00212269
negative;the ;0,002932664;0,002932664
negative;upswing ;0,005865328;0,005865328
negative;in ;0,005902205;0,005902205
negative;commodity ;0,005902205;0,005902205
negative;prices;0,005902205;0,005902205
negative;the ;0,006544052;0,006544052
negative;low ;0,006544052;0,006544052
negative;level ;0,006544052;0,006544052
negative;of ;0,006544052;0,006544052
negative;real ;0,00574836;0,00574836
negative;short;0,00574836;0,00574836
negative;"term 
 ";0,00868707;0,00868707
negative;interest ;0,00868707;0,00868707
negative;rates;0,00868707;0,00868707
negative;and ;-0,001353104;-0,001353104
negative;what ;-0,006100041;-0,006100041
negative;in ;-0,006100041;-0,006100041
negative;their ;-0,006100041;-0,006100041
negative;judgment ;-0,006100041;-0,006100041
negative;was ;0,021824398;0,021824398
negative;a ;0,021824398;0,021824398
negative;relatively ;0,019356783;0,019356783
negative;"depressed 
 ";0,176661989;0,176661989
negative;foreign ;0,134942443;0,134942443
negative;exchange ;0,031120874;0,031120874
negative;value ;0,031120874;0,031120874
negative;of ;0,015747793;0,015747793
negative;the ;0,015747793;0,015747793
negative;dollar ;0,016496418;0,016496418
negative;given ;0,016496418;0,016496418
negative;the ;0,001112874;0,001112874
negative;comparative ;0,001112874;0,001112874
negative;strength ;0,001112874;0,001112874
negative;"of 
 ";0,008298599;0,008298599
negative;the ;0,008298599;0,008298599
negative;u;0,008298599;0,008298599
negative;s;-0,00050228;-0,00050228
negative;economy ;0,00827336;0,00827336
negative;and ;0,00827336;0,00827336
negative;international ;0,006297319;0,006297319
negative;interest ;0,006297319;0,006297319
negative;rate ;0,006297319;0,006297319
negative;trends;0,006297319;0,006297319
negative;in ;0,00273437;0,00273437
negative;his ;0,002901983;0,002901983
negative;view;0,002901983;0,002901983
negative;low ;0,005922333;0,005922333
negative;real ;0,005922333;0,005922333
negative;interest ;0,003364473;0,003364473
negative;rates;0,003364473;0,003364473
negative;a ;0,007526618;0,007526618
negative;very ;0,003651757;0,003651757
negative;steep ;0,011744001;0,011744001
negative;"yield 
 ";-0,003622827;-0,003622827
negative;curve;0,001754295;0,001754295
negative;a ;0,033744604;0,033744604
negative;surprisingly ;0,040154302;0,040154302
negative;weak ;0,139639706;0,139639706
negative;exchange ;0,010120184;0,010120184
negative;value ;0,043645028;0,043645028
negative;of ;0,033162435;0,033162435
negative;the ;0,004996321;0,004996321
negative;dollar ;0,008860545;0,008860545
negative;along ;-0,008626235;-0,008626235
negative;with ;0,002455502;0,002455502
negative;"the 
 ";-0,013134588;-0,013134588
negative;confirming ;-0,012228318;-0,012228318
negative;price ;-0,009681837;-0,009681837
negative;behavior ;-0,005533182;-0,005533182
negative;of ;-0,001079571;-0,001079571
negative;inflation;0,001874253;0,001874253
negative;sensitive ;0,017138712;0,017138712
negative;commodities ;0,014090502;0,014090502
negative;such ;0,014090502;0,014090502
negative;"as 
 ";0,00634146;0,00634146
negative;gold ;0,00634146;0,00634146
negative;underscored ;0,028376191;0,028376191
negative;the ;0,007970065;0,007970065
negative;need ;0,007970065;0,007970065
negative;for ;0,00762031;0,00762031
negative;committee ;0,00762031;0,00762031
negative;action ;0,007804121;0,007804121
negative;to ;0,003888302;0,003888302
negative;signal ;-0,000950745;-0,000950745
negative;the ;-0,000950745;-0,000950745
negative;system;0,007650903;0,007650903
negative;"s 
 ";0,013228274;0,013228274
negative;continuing ;0,013228274;0,013228274
negative;commitment ;-0,023572134;-0,023572134
negative;to ;-0,023572134;-0,023572134
negative;the ;-0,001483011;-0,001483011
negative;eventual ;-0,001483011;-0,001483011
negative;achievement ;0,008986266;0,008986266
negative;of ;0,008986266;0,008986266
negative;price ;0,012760206;0,012760206
negative;stability;0,012760206;0,012760206
positive;after ;0,012188493;0,012188493
positive;depreciating ;-0,028606205;-0,028606205
positive;somewhat ;0,039053929;0,039561038
positive;through ;0,023180321;0,022673212
positive;the ;-0,004743191;-0,004743191
positive;"end 
 ";-0,005870094;-0,006119627
positive;of ;-0,005870094;-0,006119627
positive;may;-0,0055003;-0,005749833
positive;the ;-0,001943729;-0,001943729
positive;dollar ;0,015425685;0,015425685
positive;recovered ;0,124544378;0,124544378
positive;in ;0,046078004;0,046078004
positive;early ;-0,017065343;-0,017713083
positive;june ;-0,010283669;-0,010931409
positive;when ;-0,021017722;-0,020369982
positive;u;0,00931574;0,009963481
positive;s;0,056231422;0,056231422
positive;money ;-0,000852273;0,024549931
positive;"market 
 ";0,05661513;0,071992387
positive;interest ;0,029835643;0,024141711
positive;rates ;0,083658211;0,024141711
positive;moved ;0,088256367;0,111559249
positive;higher;0,189416316;0,190309345
negative;the ;-0,01088407;-0,01088407
negative;strengthening ;-0,082472998;-0,082472998
negative;of ;-0,02088238;-0,02088238
negative;the ;0,009658839;0,009658839
negative;dollar;0,009658839;0,009658839
negative;and ;0,075570162;0,075570162
negative;"the 
 ";0,03680828;0,03680828
negative;associated ;0,051593165;0,051593165
negative;rise ;0,005475204;0,005475204
negative;in ;0,005475204;0,005475204
negative;u;0,004738751;0,004738751
negative;s;0,013958323;0,013958323
negative;long;0,005500162;0,002704865
negative;term ;0,006104187;0,002704865
negative;interest ;0,006104187;0,008319414
negative;rates ;0,00864168;0,008319414
negative;relative ;0,00864168;0,008319414
negative;to ;0,00864168;0,008319414
negative;"foreign 
 ";0,007702244;0,014865307
negative;rates;0,007702244;0,014865307
negative;reflected ;-0,003403682;-0,003403682
negative;both ;-0,003403682;-0,003403682
negative;more ;-0,005022872;-0,005022872
negative;optimistic ;-0,005022872;-0,005022872
negative;expectations ;-0,001859643;-0,001859643
negative;for ;-0,001859643;-0,001859643
negative;growth ;-0,002783524;-0,002783524
negative;in ;-0,002783524;-0,002783524
negative;"the 
 ";0,006565604;0,006565604
negative;united ;0,006565604;0,006565604
negative;states ;0,006565604;0,006565604
negative;and ;-0,008549213;-0,008549213
negative;more ;-0,008549213;-0,008549213
negative;pessimistic ;0,446069582;0,446069582
negative;assessments ;-0,010944597;-0,010944597
negative;for ;-0,010944597;-0,010944597
negative;the ;-0,006149469;-0,006149469
negative;course ;-0,006149469;-0,006149469
negative;"of 
 ";0,008829643;0,008829643
negative;economic ;0,008829643;0,008829643
negative;activity ;0,008829643;0,008829643
negative;in ;0,008829643;0,008829643
negative;continental ;-0,002687745;-0,002687745
negative;europe ;-0,002687745;-0,002687745
negative;and ;-0,002687745;-0,002687745
negative;japan;0,019424266;0,019424266
negative;even ;0,004941995;0,003094867
negative;though ;0,006607699;0,004054301
negative;interest ;0,000988033;-0,004452156
negative;rates ;0,00652658;-0,004452156
negative;eased ;0,032815819;0,038064388
negative;in ;0,013303895;0,025686523
negative;europe ;0,021838963;0,026713959
negative;"as 
 ";0,005616877;0,020828022
negative;central ;0,013481818;0,017619688
negative;banks ;0,020615965;0,0241243
negative;lowered ;0,061684965;0,037885466
negative;their ;0,014886388;0,024620856
negative;money;0,014886388;0,014519279
negative;market ;0,009407219;0,011439048
negative;intervention ;0,013543023;0,015250681
negative;rates;0,014421183;0,018842862
negative;"the 
 ";0,021616356;0,021616356
negative;dollar ;0,029305471;0,029305471
negative;was ;0,015612005;0,015612005
negative;little ;0,015310368;0,015310368
negative;changed ;-0,038346991;-0,038783624
negative;against ;0,015333326;0,014896693
negative;the ;-0,000651779;-0,00036069
negative;german ;-0,000651779;-0,00036069
negative;mark ;0,000203229;0,000494317
negative;and ;0,013993573;0,013993573
negative;"declined 
 ";0,175215763;0,173102133
negative;somewhat ;0,113647483;0,115761113
negative;against ;0,03025011;0,029105776
negative;other ;0,027961441;0,029105776
negative;european ;0,029240791;0,029240791
negative;currencies;0,049920965;0,049920965
negative;the ;0,016195611;0,016195611
negative;dollar ;0,049569185;0,049569185
negative;fell ;0,398464809;0,398464809
negative;against ;0,000324032;0,000324032
negative;the ;0,00928705;0,00928705
negative;yen ;0,027537538;0,027537538
negative;in ;0,020169872;0,020169872
negative;"the 
 ";0,000467991;0,000467991
negative;context ;-0,007908081;-0,007908081
negative;of ;0,013566667;0,013566667
negative;somewhat ;0,016891112;0,016891112
negative;higher ;0,015086878;0,015086878
negative;japanese ;0,013367737;0,013367737
negative;interest ;0,010004257;0,010356902
negative;rates ;0,010709546;0,010356902
negative;and ;0,030777997;0,030777997
negative;"renewed 
 ";0,011861896;0,011861896
negative;expressions ;-0,01310199;-0,01310199
negative;of ;0,018131353;0,018131353
negative;u;0,023302099;0,023302099
negative;s;0,00179421;0,00179421
negative;concern ;0,063383619;0,063383619
negative;about ;0,020926563;0,020926563
negative;bilateral ;0,012175605;0,012175605
negative;trade ;0,012022963;0,012022963
negative;issues;0,030604616;0,030604616
positive;the ;0,013902949;0,013902949
positive;dollar ;0,018983848;0,018983848
positive;depreciated ;-0,137930584;-0,137930584
positive;over ;0,00460349;0,00460349
positive;the ;0,004473138;0,004473138
positive;balance ;0,002126067;0,002126067
positive;of ;0,002126067;0,002126067
positive;"the 
 ";0,012085593;0,012085593
positive;intermeeting ;0,031360825;0,031360825
positive;period;0,007143534;0,007143534
positive;however;0,106186196;0,106186196
positive;despite ;0,024410098;0,024410098
positive;higher ;0,024410098;0,024410098
positive;u;0,012019678;0,012019678
positive;s;0,004942207;0,004942207
positive;interest ;0,033310046;0,030842687
positive;rates ;0,028375329;0,030842687
positive;"and 
 ";0,011669541;0,011669541
positive;the ;0,011669541;0,011669541
positive;release ;0,010936907;0,010936907
positive;of ;0,010936907;0,010936907
positive;data ;0,01452994;0,01452994
positive;indicating ;0,021957914;0,021957914
positive;generally ;0,079880421;0,079880421
positive;strong ;0,1051424;0,1051424
positive;u;0,043637439;0,043637439
positive;s;0,005306902;0,005306902
positive;"economic 
 ";0,014980668;0,014980668
positive;activity;0,011015361;0,011015361
positive;the ;0,013902949;0,013902949
positive;dollar ;0,018983848;0,018983848
positive;depreciated ;-0,137930584;-0,137930584
positive;over ;0,00460349;0,00460349
positive;the ;0,004473138;0,004473138
positive;balance ;0,002126067;0,002126067
positive;of ;0,002126067;0,002126067
