TOKEN;Avg. SHAP;Avg. C-SHAP (P+C)
judged;0,011772595;0,006567227
addition;0,006533404;0,006533404
equity;0,006173945;0,006284494
long;0,005229546;0,006191723
values;0,006180739;0,006180739
business;0,00609103;0,00609103
loans;0,00609103;0,00609103
not;0,004008651;0,005968105
germany;0,005954085;0,005954085
index;0,005900412;0,005900412
british;0,005749342;0,005749342
and;0,005312854;0,005747346
kingdom;0,005712397;0,005712397
nation;0,006293182;0,005547901
possible;0,005475206;0,005475206
point;0,005424382;0,005424382
political;0,005401578;0,005401578
implied;0,006988882;0,005305681
citing;0,005282687;0,005282687
commodity;0,005215924;0,005215924
mexico;0,005163236;0,005163236
sensitive;0,005128701;0,005128701
value;0,00511537;0,00511537
indicate;0,004998453;0,004998453
turkey;0,004986686;0,004986686
beyond;0,004911765;0,004911765
recently;0,004901168;0,004901168
central;0,004893904;0,004893904
bank;0,004893904;0,004893904
term;0,003735398;0,004745752
also;0,004740409;0,004740409
restraint;0,004710517;0,004710517
sizable;0,004674775;0,004674775
incipient;0,004626188;0,004626188
months;0,004307614;0,004555597
brazil;0,004536362;0,004536362
energy;7,58264E-05;0,00450535
home;0,004302798;0,004302798
foreign;0,004189265;0,004149094
was;0,003666363;0,00397657
communications;0,003811728;0,003811728
private;0,001874221;0,003777272
trade;0,003691262;0,003691262
real;0,003341237;0,003477772
japan;-0,000161622;0,003438429
staff;0,003406333;0,003406333
issues;0,003400687;0,003400687
policies;0,003378934;0,003378934
fiscal;0,003378934;0,003378934
standards;0,002805347;0,002805347
developments;0,002687357;0,002687357
credit;0,002684476;0,002684476
effects;0,002653947;0,002653947
on;0,005816953;0,002565682
employment;0,002575131;0,002462576
implemented;0,002186292;0,002186292
balance;0,002126067;0,002126067
rally;0,001860894;0,001960164
number;0,00193184;0,00193184
weighted;0,001908437;0,001908437
policy;0,002515207;0,001859478
occurred;0,00180037;0,00180037
measured;0,001798066;0,001798066
one;-0,00077493;0,00173349
financial;0,001553035;0,001603187
monetary;0,00148269;0,00148269
declines;0,007877375;0,001474063
european;0,007576875;0,00132107
behavior;0,000798581;0,000798581
assets;-0,001294648;0,000771184
federal;0,000617154;0,000617154
year;0,000846317;0,000559571
exchange;0,000543919;0,000543919
short;0,001412873;0,000525933
high;-0,000146655;-0,000146655
small;-0,009512726;-0,000163643
coming;-0,000662515;-0,000662515
continuing;-0,000684027;-0,000684027
concerns;0,001536304;-0,001009015
their;-0,001246469;-0,001246469
uniformly;-0,001442473;-0,001442473
january;-0,001455321;-0,001455321
forecast;-0,001518432;-0,001518432
might;-0,001585129;-0,001585129
mostly;-0,001690742;-0,001690742
late;-0,0017066;-0,0017066
2017;-0,0017066;-0,0017066
spreads;-0,002204035;-0,002204035
weaker;-0,00210936;-0,002711921
since;-0,002912732;-0,002773021
banking;-0,002827324;-0,002827324
institutions;-0,002827324;-0,002827324
having;-0,002972205;-0,002972205
spreading;-0,002981526;-0,002981526
start;-0,002859251;-0,003068818
essentially;-0,003248586;-0,003248586
authorities;-0,003596583;-0,003596583
viewed;-0,004039975;-0,004039975
narrow;-0,004040415;-0,004040415
discussion;-0,004710109;-0,004710109
suggested;-0,004539593;-0,0048007
prevalence;-0,011785897;-0,005027114
likely;0,019842471;-0,00509834
reserve;-0,006587612;-0,005276153
reduce;-0,005617629;-0,005617629
official;-0,005617629;-0,005617629
may;-0,0055003;-0,005749833
end;-0,005870094;-0,006119627
it;-0,006477183;-0,006477183
eroded;-0,007191921;-0,007191921
markets;-0,007370796;-0,007499115
could;-0,008743256;-0,008743256
about;-0,00694862;-0,00887763
early;-0,009079593;-0,009403463
decline;-0,022838448;-0,009704256
revised;-0,009747091;-0,009747091
when;-0,010307958;-0,009984088
june;-0,010283669;-0,010931409
perceptions;-0,011735424;-0,011735424
projection;-0,01199996;-0,01199996
report;-0,011116183;-0,012581802
would;0,001742134;-0,012723793
fell;-0,015569648;-0,014585934
sovereign;0,005891013;-0,016986339
or;-0,020582598;-0,020582598
degree;-0,020613836;-0,020613836
sluggish;-0,023765763;-0,023765763
regard;-0,024717742;-0,024717742
depreciating;-0,028606205;-0,028606205
contrast;-0,02915864;-0,02915864
declined;-0,071112168;-0,058724455
negative;-0,035089524;-0,087401739
fallen;-0,122833385;-0,122833385
depreciated;-0,137930584;-0,137930584
Totale complessivo;0,016885931;0,016829574
